t,freq_hz,shoulder_pan_cmd,shoulder_pan_pos,shoulder_lift_cmd,shoulder_lift_pos,elbow_flex_cmd,elbow_flex_pos,wrist_flex_cmd,wrist_flex_pos,wrist_roll_cmd,wrist_roll_pos
0.0,0.1,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.0,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.02,0.1019,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.000187738205117,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.04,0.1038,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.001514418756987,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.06,0.1057,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.00514960394756,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.08,0.1076,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.012288359069696,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.1,0.10950000000000001,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.024142178173697,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.12,0.1114,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.04192953959927,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.14,0.11330000000000001,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.066866149388563,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.16,0.11520000000000001,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.100154934738136,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.18,0.11710000000000001,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.142975853407616,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.2,0.11900000000000001,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.196475588430925,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
0.22,0.12090000000000001,0.0,0.17582417582417584,-20.0,-19.428571428571427,25.261757200533644,27.252747252747252,90.0,89.45054945054945,0.0,-0.3076923076923077
